i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,total_mins_surgery_time,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
60,duration_45th_percentile,2015-03-01,40,0.9284643893287386,0.0,3509.5953916626313,0,6,9
61,duration_45th_percentile,2015-03-01,33,0.9302583664313973,0.0,3516.3766251106817,0,6,16
62,duration_45th_percentile,2015-03-01,36,0.920671149428399,0.0,3480.1369448393484,0,6,13
63,duration_45th_percentile,2015-03-01,40,0.9238005671490298,0.0,3491.9661438233325,0,5,9
64,duration_45th_percentile,2015-03-01,41,0.9124969944147855,0.0,3449.2386388878895,0,3,8
65,duration_45th_percentile,2015-03-01,38,0.9260477991952649,0.0,3500.4606809581005,0,5,11
66,duration_45th_percentile,2015-03-01,40,0.9413126389087804,0.0,3558.1617750751902,0,6,9
67,duration_45th_percentile,2015-03-01,31,0.9360150989261845,79.56942202152652,3617.706495962503,2,6,18
68,duration_45th_percentile,2015-03-01,36,0.9379539097000519,40.06166841188781,3585.5274470780832,1,6,13
69,duration_45th_percentile,2015-03-01,36,0.936945530150185,0.0,3541.6541039676986,0,6,13
70,duration_45th_percentile,2015-03-01,38,0.9230526183748183,0.0,3489.1388974568135,0,5,11
71,duration_45th_percentile,2015-03-01,32,0.931268489359322,0.0,3520.1948897782368,0,7,17
72,duration_45th_percentile,2015-03-01,43,0.953483355646774,3.322865414843477,3607.489949759649,1,4,6
73,duration_45th_percentile,2015-03-01,31,0.9474443471322255,102.9962874300287,3684.335919589841,1,7,18
74,duration_45th_percentile,2015-03-01,32,0.9279466021081163,40.127909041616476,3547.766065010296,1,6,17
75,duration_45th_percentile,2015-03-01,36,0.9128859105986322,0.0,3450.7087420628295,0,6,13
76,duration_45th_percentile,2015-03-01,40,0.9387320133866072,0.0,3548.4070106013746,0,6,9
77,duration_45th_percentile,2015-03-01,37,0.9607534198685032,48.431254831279375,3680.0791819342217,2,5,12
78,duration_45th_percentile,2015-03-01,32,0.9382920760079815,98.35914039763634,3645.1031877078062,2,7,17
79,duration_45th_percentile,2015-03-01,34,0.9491226375689149,78.74760010175498,3666.4311701122524,1,6,15
80,duration_45th_percentile,2015-03-01,31,0.958105194103102,0.0,3621.637633709726,0,6,18
81,duration_45th_percentile,2015-03-01,37,0.9391606831063566,2.9502863372596266,3552.977668479288,1,6,12
82,duration_45th_percentile,2015-03-01,35,0.925517407403321,0.0,3498.455799984554,0,5,14
83,duration_45th_percentile,2015-03-01,36,0.9274899190243993,0.0,3505.911893912229,0,6,13
84,duration_45th_percentile,2015-03-01,37,0.9185495206900148,0.0,3472.117188208256,0,6,12
85,duration_45th_percentile,2015-03-01,34,0.9369281590498343,0.0,3541.5884412083738,0,6,15
86,duration_45th_percentile,2015-03-01,41,0.9158882766696543,0.0,3462.057685811293,0,4,8
87,duration_45th_percentile,2015-03-01,41,0.9071499227536594,0.0,3429.0267080088324,0,2,8
88,duration_45th_percentile,2015-03-01,39,0.9309392518313163,0.0,3518.9503719223762,0,6,10
89,duration_45th_percentile,2015-03-01,36,0.9361274674065065,0.0,3538.5618267965947,0,7,13
90,duration_45th_percentile,2015-03-01,39,0.9538208453542272,34.71187413767109,3640.1546695766497,1,6,10
