i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
88,duration_40th_percentile,2015-03-01,44,0.9928559990534144,106.40899358191575,4,7,7
89,duration_40th_percentile,2015-03-01,45,0.9669871668972551,0.0,0,6,6
90,duration_40th_percentile,2015-03-01,51,0.994123193096158,86.3226252722053,4,6,6
91,duration_40th_percentile,2015-03-01,45,0.9800732145144838,17.93645332499625,3,6,6
92,duration_40th_percentile,2015-03-01,50,0.987847267324341,39.52715553855796,3,6,6
93,duration_40th_percentile,2015-03-01,53,0.9726888019174804,97.73300886250445,4,6,6
94,duration_40th_percentile,2015-03-01,53,0.9894325453157248,57.29814111757116,4,5,5
95,duration_40th_percentile,2015-03-01,56,0.9963839429049024,99.52047225812726,6,3,3
96,duration_40th_percentile,2015-03-01,54,0.9845168583539989,86.93974415817797,5,5,5
97,duration_40th_percentile,2015-03-01,50,0.9934939303910167,48.27627021163573,4,6,6
98,duration_40th_percentile,2015-03-01,44,0.9797386199757108,65.93333748789985,3,6,6
99,duration_40th_percentile,2015-03-01,51,0.9852712879061424,35.123886270049184,4,5,5
100,duration_40th_percentile,2015-03-01,46,0.988491313958648,58.8093650085716,4,6,6
101,duration_40th_percentile,2015-03-01,48,0.9978478172300942,88.34111118578392,5,5,5
102,duration_40th_percentile,2015-03-01,50,0.9943997343212212,74.77836795972723,5,7,7
103,duration_40th_percentile,2015-03-01,56,0.991842530202472,55.14451685853669,5,3,3
104,duration_40th_percentile,2015-03-01,51,0.991251302713351,46.71148914453511,4,5,5
105,duration_40th_percentile,2015-03-01,47,0.9709755486397876,0.0,0,5,5
106,duration_40th_percentile,2015-03-01,52,0.977305595277442,28.084562553558044,2,5,5
107,duration_40th_percentile,2015-03-01,51,0.9803136812091146,54.83131081131194,4,4,4
108,duration_40th_percentile,2015-03-01,47,0.9746143217220583,35.36850860079721,1,6,6
109,duration_40th_percentile,2015-03-01,52,0.9858080826875477,45.90778939251038,3,3,3
110,duration_40th_percentile,2015-03-01,48,0.9984067107797284,108.21750228443136,5,7,7
111,duration_40th_percentile,2015-03-01,54,0.9923054606229206,50.76719180644318,5,4,4
112,duration_40th_percentile,2015-03-01,52,0.9966048635363686,81.91235065760054,4,6,6
