,objective type,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
140,t&p matrix,FALSE,91,57,6,2,3.818181818,16.52272727,1.772727273,44,7,1,0.022222222
141,t&p matrix,FALSE,91,58,0,0,10,10.20454545,7.590909091,44,9,3,0.063829787
142,t&p matrix,FALSE,91,59,0,0,21.82926829,37.3902439,3.390243902,41,9,1,0.023809524
143,t&p matrix,FALSE,91,60,0,0,64.54545455,15.86363636,3.818181818,22,4,0,0
144,t&p matrix,FALSE,91,61,0,0,32.28571429,19.28571429,5.571428571,14,3,0,0
145,t&p matrix,FALSE,91,62,0,0,24,8.632653061,3.326530612,49,9,5,0.092592593
146,t&p matrix,FALSE,91,63,0,0,22.27027027,14.81081081,0.783783784,37,8,4,0.097560976
147,t&p matrix,FALSE,91,64,14,1,31.39130435,5.434782609,6.065217391,46,7,2,0.041666667
148,t&p matrix,FALSE,91,65,0,0,40.03448276,15.44827586,4.206896552,29,6,2,0.064516129
149,t&p matrix,FALSE,91,66,19,1,24.75555556,12.86666667,-1.111111111,45,7,2,0.042553191
150,t&p matrix,FALSE,91,67,0,0,28.71052632,10.89473684,4.868421053,38,8,2,0.05
151,t&p matrix,FALSE,91,68,0,0,34.16666667,15.26190476,2.761904762,42,8,2,0.045454545
152,t&p matrix,FALSE,91,69,0,0,29.63888889,14.66666667,3.222222222,36,8,2,0.052631579
153,t&p matrix,FALSE,91,70,31,1,21.6744186,20.74418605,3,43,11,2,0.044444444
154,t&p matrix,FALSE,91,71,0,0,23.14814815,6,12.22222222,27,6,1,0.035714286
155,t&p matrix,FALSE,91,72,0,0,33.62790698,12.6744186,3.139534884,43,6,1,0.022727273
156,t&p matrix,FALSE,91,73,0,0,43.67567568,21.48648649,1.108108108,37,8,2,0.051282051
157,t&p matrix,FALSE,91,74,14,2,16.81632653,13.46938776,4.448979592,49,9,2,0.039215686
158,t&p matrix,FALSE,91,75,1,1,34.74285714,9.457142857,0.942857143,35,8,1,0.027777778
159,t&p matrix,FALSE,91,76,0,0,31.88235294,20.97058824,2.235294118,34,7,2,0.055555556
160,t&p matrix,FALSE,91,77,7,1,43.60869565,11.39130435,2.086956522,23,6,2,0.08
161,t&p matrix,FALSE,91,78,7,1,38.21276596,28.0212766,3.617021277,47,10,2,0.040816327
162,t&p matrix,FALSE,91,79,27,1,22.81081081,14.21621622,4.162162162,37,10,2,0.051282051
163,t&p matrix,FALSE,91,80,0,0,30.47727273,11.88636364,3.295454545,44,8,2,0.043478261
