,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
68,0,t&p matrix,True,False,91,22,0,0,26.902439024390244,13.463414634146341,13.268292682926829,41,7,3,0.06818181818181818
69,0,t&p matrix,True,False,91,23,13,1,36.523809523809526,7.9523809523809526,11.333333333333334,21,5,2,0.08695652173913043
70,0,t&p matrix,True,False,91,24,0,0,26.62162162162162,16.324324324324323,13.594594594594595,37,7,4,0.0975609756097561
71,0,t&p matrix,True,False,91,25,0,0,15.119047619047619,19.61904761904762,20.11904761904762,42,8,3,0.06666666666666667
72,0,t&p matrix,True,False,91,26,0,0,20.678571428571427,16.410714285714285,12.660714285714286,56,9,4,0.06666666666666667
73,0,t&p matrix,True,False,91,27,0,0,16.285714285714285,16.69047619047619,13.785714285714286,42,8,0,0.0
74,0,t&p matrix,True,False,91,28,0,0,22.94736842105263,21.236842105263158,12.157894736842104,38,6,2,0.05
75,0,t&p matrix,True,False,91,29,0,0,29.05263157894737,16.94736842105263,4.894736842105263,19,5,3,0.13636363636363635
76,0,t&p matrix,True,False,91,30,5,1,27.178571428571427,28.285714285714285,7.571428571428571,28,6,0,0.0
77,0,t&p matrix,True,False,91,31,0,0,11.0,17.884615384615383,10.76923076923077,26,5,2,0.07142857142857142
78,0,t&p matrix,True,False,91,32,0,0,26.51219512195122,16.682926829268293,14.707317073170731,41,7,1,0.023809523809523808
79,0,t&p matrix,True,False,91,33,0,0,10.875,15.275,21.725,40,7,3,0.06976744186046512
80,0,t&p matrix,True,False,91,34,0,0,22.783783783783782,27.18918918918919,9.945945945945946,37,6,3,0.075
81,0,t&p matrix,True,False,91,35,16,2,14.0,22.53125,12.96875,32,7,1,0.030303030303030304
82,0,t&p matrix,True,False,91,36,0,0,30.73170731707317,15.829268292682928,9.365853658536585,41,7,1,0.023809523809523808
83,0,t&p matrix,True,False,91,37,0,0,12.136363636363637,13.068181818181818,16.545454545454547,44,7,0,0.0
84,0,t&p matrix,True,False,91,38,0,0,26.92105263157895,17.13157894736842,9.210526315789474,38,7,0,0.0
85,0,t&p matrix,True,False,91,39,0,0,20.529411764705884,15.794117647058824,15.117647058823529,34,9,2,0.05555555555555555
86,0,t&p matrix,True,False,91,40,0,0,24.95,15.65,10.725,40,7,1,0.024390243902439025
87,0,t&p matrix,True,False,91,41,0,0,20.0,32.76,7.64,25,7,0,0.0
88,0,t&p matrix,True,False,91,42,0,0,36.89473684210526,18.05263157894737,4.578947368421052,19,5,0,0.0
89,0,t&p matrix,True,False,91,45,0,0,4.59375,5.90625,30.90625,32,5,0,0.0
90,0,t&p matrix,True,False,91,46,0,0,16.666666666666668,14.333333333333334,19.333333333333332,39,6,0,0.0
91,0,t&p matrix,True,False,91,47,0,0,10.969696969696969,17.12121212121212,12.93939393939394,33,5,0,0.0
92,0,t&p matrix,True,False,91,48,0,0,30.307692307692307,14.923076923076923,11.615384615384615,26,5,1,0.037037037037037035
93,0,t&p matrix,True,False,91,49,0,0,22.236842105263158,23.210526315789473,5.7631578947368425,38,8,1,0.02564102564102564
94,0,t&p matrix,True,False,91,50,2,1,32.08695652173913,17.08695652173913,8.326086956521738,46,8,1,0.02127659574468085
95,0,t&p matrix,True,False,91,51,0,0,24.0,13.738095238095237,11.238095238095237,42,10,0,0.0
96,1,t&p matrix,True,True,91,1,1096,46,26.74074074074074,19.382716049382715,43.95061728395062,81,11,0,0.0
97,1,t&p matrix,True,True,91,2,0,0,6.585365853658536,3.658536585365854,34.46341463414634,41,5,0,0.0
98,1,t&p matrix,True,True,91,3,0,0,10.93939393939394,26.12121212121212,24.484848484848484,33,6,0,0.0
99,1,t&p matrix,True,True,91,4,0,0,40.529411764705884,43.529411764705884,0.0,17,3,0,0.0
100,1,t&p matrix,True,True,91,6,0,0,11.75925925925926,18.055555555555557,28.40740740740741,54,8,0,0.0
101,1,t&p matrix,True,True,91,7,0,0,31.15625,22.875,15.5,32,6,0,0.0
102,1,t&p matrix,True,True,91,8,0,0,21.17241379310345,19.0,30.03448275862069,29,5,0,0.0
103,1,t&p matrix,True,True,91,9,0,0,37.17391304347826,28.869565217391305,7.739130434782608,23,5,0,0.0
104,1,t&p matrix,True,True,91,10,0,0,25.764705882352942,22.41176470588235,15.215686274509803,51,8,0,0.0
105,1,t&p matrix,True,True,91,11,0,0,42.37931034482759,20.96551724137931,5.448275862068965,29,8,0,0.0
106,1,t&p matrix,True,True,91,12,0,0,32.022222222222226,24.177777777777777,11.666666666666666,45,7,0,0.0
107,1,t&p matrix,True,True,91,13,0,0,19.714285714285715,20.928571428571427,18.857142857142858,28,5,0,0.0
108,1,t&p matrix,True,True,91,14,0,0,21.020833333333332,21.666666666666668,11.3125,48,7,0,0.0
109,1,t&p matrix,True,True,91,15,0,0,25.096774193548388,15.225806451612904,8.709677419354838,31,6,0,0.0
110,1,t&p matrix,True,True,91,16,0,0,23.37142857142857,22.65714285714286,13.457142857142857,35,6,0,0.0
111,1,t&p matrix,True,True,91,17,0,0,12.837837837837839,18.864864864864863,14.297297297297296,37,7,0,0.0
112,1,t&p matrix,True,True,91,18,0,0,19.5,25.75,7.340909090909091,44,7,0,0.0
113,1,t&p matrix,True,True,91,19,0,0,19.5,13.441176470588236,14.411764705882353,34,7,0,0.0
114,1,t&p matrix,True,True,91,20,0,0,20.06122448979592,19.775510204081634,11.346938775510203,49,7,0,0.0
115,1,t&p matrix,True,True,91,21,0,0,18.75,14.227272727272727,17.0,44,8,0,0.0
116,1,t&p matrix,True,True,91,22,0,0,14.068181818181818,22.59090909090909,10.545454545454545,44,7,0,0.0
117,1,t&p matrix,True,True,91,23,0,0,22.037037037037038,13.62962962962963,3.0,27,5,0,0.0
118,1,t&p matrix,True,True,91,24,0,0,20.26829268292683,15.78048780487805,13.414634146341463,41,7,0,0.0
119,1,t&p matrix,True,True,91,25,0,0,9.673913043478262,17.434782608695652,14.152173913043478,46,8,0,0.0
120,1,t&p matrix,True,True,91,26,0,0,19.280701754385966,18.842105263157894,10.614035087719298,57,9,0,0.0
121,1,t&p matrix,True,True,91,27,0,0,19.29268292682927,12.024390243902438,13.902439024390244,41,8,0,0.0
122,1,t&p matrix,True,True,91,28,0,0,26.46153846153846,16.102564102564102,3.2564102564102564,39,6,0,0.0
123,1,t&p matrix,True,True,91,29,0,0,18.15,28.35,0.35,20,5,0,0.0
124,1,t&p matrix,True,True,91,30,0,0,16.64516129032258,12.225806451612904,11.903225806451612,31,6,0,0.0
125,1,t&p matrix,True,True,91,31,0,0,24.869565217391305,9.043478260869565,12.956521739130435,23,5,0,0.0
126,1,t&p matrix,True,True,91,32,0,0,21.153846153846153,15.76923076923077,11.102564102564102,39,7,0,0.0
127,1,t&p matrix,True,True,91,33,0,0,18.369565217391305,16.195652173913043,4.826086956521739,46,7,0,0.0
128,1,t&p matrix,True,True,91,34,0,0,30.52777777777778,7.666666666666667,12.694444444444445,36,6,0,0.0
129,1,t&p matrix,True,True,91,35,0,0,15.342105263157896,11.763157894736842,7.842105263157895,38,7,0,0.0
130,1,t&p matrix,True,True,91,36,0,0,18.38095238095238,17.833333333333332,6.904761904761905,42,7,0,0.0
131,1,t&p matrix,True,True,91,37,0,0,18.8,12.225,2.875,40,7,0,0.0
132,1,t&p matrix,True,True,91,38,0,0,26.153846153846153,6.333333333333333,3.6153846153846154,39,7,0,0.0
133,1,t&p matrix,True,True,91,39,0,0,15.542857142857143,12.542857142857143,7.6,35,9,0,0.0
134,1,t&p matrix,True,True,91,40,0,0,30.37837837837838,11.54054054054054,4.648648648648648,37,7,0,0.0
135,1,t&p matrix,True,True,91,41,0,0,40.64,14.32,0.0,25,7,0,0.0
136,1,t&p matrix,True,True,91,42,0,0,30.941176470588236,17.647058823529413,2.0,17,5,0,0.0
137,1,t&p matrix,True,True,91,45,0,0,1.4242424242424243,10.727272727272727,20.727272727272727,33,5,0,0.0
138,1,t&p matrix,True,True,91,46,0,0,16.44736842105263,14.631578947368421,7.631578947368421,38,6,0,0.0
139,1,t&p matrix,True,True,91,47,0,0,8.676470588235293,14.558823529411764,12.352941176470589,34,5,0,0.0
140,1,t&p matrix,True,True,91,48,0,0,30.607142857142858,9.642857142857142,9.428571428571429,28,5,0,0.0
141,1,t&p matrix,True,True,91,49,0,0,13.928571428571429,17.38095238095238,5.5,42,8,0,0.0
142,1,t&p matrix,True,True,91,50,0,0,20.74418604651163,9.744186046511627,7.395348837209302,43,8,0,0.0
143,1,t&p matrix,True,True,91,51,0,0,20.847826086956523,9.021739130434783,3.717391304347826,46,10,0,0.0
144,1,t&p matrix,True,False,91,1,1071,44,27.455696202531644,19.848101265822784,41.69620253164557,79,11,3,0.036585365853658534
145,1,t&p matrix,True,False,91,2,15,1,7.297297297297297,2.108108108108108,40.78378378378378,37,5,2,0.05128205128205128
146,1,t&p matrix,True,False,91,3,0,0,11.28125,29.3125,23.125,32,6,1,0.030303030303030304
147,1,t&p matrix,True,False,91,4,0,0,38.0,46.6875,0.0,16,3,1,0.058823529411764705
148,1,t&p matrix,True,False,91,6,65,2,14.254901960784315,17.745098039215687,32.11764705882353,51,8,3,0.05555555555555555
149,1,t&p matrix,True,False,91,7,0,0,33.233333333333334,26.866666666666667,18.133333333333333,30,6,1,0.03225806451612903
150,1,t&p matrix,True,False,91,8,0,0,23.615384615384617,19.307692307692307,38.57692307692308,26,5,1,0.037037037037037035
151,1,t&p matrix,True,False,91,9,15,1,37.17391304347826,30.391304347826086,3.1739130434782608,23,5,0,0.0
152,1,t&p matrix,True,False,91,10,0,0,22.711111111111112,25.266666666666666,16.266666666666666,45,8,3,0.0625
153,1,t&p matrix,True,False,91,11,5,1,49.214285714285715,10.178571428571429,13.964285714285714,28,8,1,0.034482758620689655
154,1,t&p matrix,True,False,91,12,2,1,31.23913043478261,24.608695652173914,15.652173913043478,46,7,3,0.061224489795918366
155,1,t&p matrix,True,False,91,13,20,1,32.03333333333333,14.133333333333333,17.7,30,5,0,0.0
156,1,t&p matrix,True,False,91,14,0,0,19.755555555555556,24.622222222222224,18.733333333333334,45,7,1,0.021739130434782608
157,1,t&p matrix,True,False,91,15,0,0,18.8,26.233333333333334,11.966666666666667,30,6,2,0.0625
158,1,t&p matrix,True,False,91,16,0,0,22.27027027027027,25.486486486486488,12.72972972972973,37,6,1,0.02631578947368421
159,1,t&p matrix,True,False,91,17,0,0,17.205882352941178,20.5,14.323529411764707,34,7,2,0.05555555555555555
160,1,t&p matrix,True,False,91,18,28,1,16.75609756097561,20.609756097560975,16.682926829268293,41,7,2,0.046511627906976744
161,1,t&p matrix,True,False,91,19,0,0,23.166666666666668,14.966666666666667,19.733333333333334,30,7,0,0.0
162,1,t&p matrix,True,False,91,20,0,0,15.75,24.0,17.5,48,7,1,0.02040816326530612
163,1,t&p matrix,True,False,91,21,0,0,25.35,17.675,10.725,40,8,1,0.024390243902439025
164,1,t&p matrix,True,False,91,22,5,1,16.595238095238095,21.547619047619047,18.357142857142858,42,7,1,0.023255813953488372
165,1,t&p matrix,True,False,91,23,0,0,16.32,23.28,12.76,25,5,0,0.0
166,1,t&p matrix,True,False,91,24,0,0,18.558139534883722,22.023255813953487,7.441860465116279,43,7,1,0.022727272727272728
167,1,t&p matrix,True,False,91,25,0,0,7.928571428571429,20.166666666666668,22.11904761904762,42,8,1,0.023255813953488372
168,1,t&p matrix,True,False,91,26,0,0,25.983050847457626,14.423728813559322,13.305084745762711,59,9,2,0.03278688524590164
169,1,t&p matrix,True,False,91,27,0,0,19.0,21.54054054054054,17.054054054054053,37,8,2,0.05128205128205128
170,1,t&p matrix,True,False,91,28,2,1,29.63157894736842,16.05263157894737,13.210526315789474,38,6,2,0.05
171,1,t&p matrix,True,False,91,29,0,0,12.764705882352942,34.05882352941177,14.529411764705882,17,5,2,0.10526315789473684
172,1,t&p matrix,True,False,91,30,0,0,23.25925925925926,19.22222222222222,12.962962962962964,27,6,1,0.03571428571428571
173,1,t&p matrix,True,False,91,31,0,0,35.833333333333336,6.222222222222222,20.38888888888889,18,5,1,0.05263157894736842
174,1,t&p matrix,True,False,91,32,0,0,22.0,25.214285714285715,9.80952380952381,42,7,3,0.06666666666666667
175,1,t&p matrix,True,False,91,33,0,0,18.16216216216216,12.243243243243244,22.81081081081081,37,7,3,0.075
176,1,t&p matrix,True,False,91,34,49,1,41.48780487804878,13.926829268292684,4.048780487804878,41,6,2,0.046511627906976744
177,1,t&p matrix,True,False,91,35,0,0,16.424242424242426,19.606060606060606,10.454545454545455,33,7,3,0.08333333333333333
178,1,t&p matrix,True,False,91,36,0,0,22.210526315789473,19.973684210526315,16.05263157894737,38,7,2,0.05
179,1,t&p matrix,True,False,91,37,0,0,19.89189189189189,16.81081081081081,14.972972972972974,37,7,4,0.0975609756097561
180,1,t&p matrix,True,False,91,38,0,0,30.257142857142856,8.457142857142857,13.028571428571428,35,7,3,0.07894736842105263
181,1,t&p matrix,True,False,91,39,0,0,16.823529411764707,20.029411764705884,10.617647058823529,34,9,4,0.10526315789473684
182,1,t&p matrix,True,False,91,40,0,0,31.837209302325583,11.744186046511627,10.69767441860465,43,7,2,0.044444444444444446
183,1,t&p matrix,True,False,91,41,0,0,22.44,20.0,10.48,25,7,0,0.0
184,1,t&p matrix,True,False,91,42,0,0,25.6,29.066666666666666,11.0,15,5,1,0.0625
185,1,t&p matrix,True,False,91,45,260,10,30.48148148148148,19.88888888888889,31.296296296296298,27,5,0,0.0
186,1,t&p matrix,True,False,91,46,0,0,14.210526315789474,20.105263157894736,16.86842105263158,38,6,2,0.05
187,1,t&p matrix,True,False,91,47,8,1,24.275862068965516,18.275862068965516,15.827586206896552,29,5,1,0.03333333333333333
188,1,t&p matrix,True,False,91,48,4,1,33.92,14.16,15.16,25,5,2,0.07407407407407407
189,1,t&p matrix,True,False,91,49,5,1,33.270270270270274,21.2972972972973,13.567567567567568,37,8,0,0.0
190,1,t&p matrix,True,False,91,50,0,0,28.695652173913043,15.5,19.869565217391305,46,8,1,0.02127659574468085
191,1,t&p matrix,True,False,91,51,0,0,19.142857142857142,17.80952380952381,12.714285714285714,42,10,4,0.08695652173913043
192,2,t&p matrix,True,True,91,1,1096,47,22.73170731707317,39.68292682926829,28.426829268292682,82,11,0,0.0
193,2,t&p matrix,True,True,91,2,0,0,6.487804878048781,11.439024390243903,28.804878048780488,41,5,0,0.0
194,2,t&p matrix,True,True,91,3,0,0,5.6875,33.375,24.4375,32,6,0,0.0
195,2,t&p matrix,True,True,91,4,6,1,62.333333333333336,13.88888888888889,4.5,18,3,0,0.0
196,2,t&p matrix,True,True,91,6,0,0,13.679245283018869,28.528301886792452,13.433962264150944,53,8,0,0.0
