,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
63,0,t&p matrix,False,False,91,17,6,1,36.325,13.45,4.325,40,7,3,0.06976744186046512
64,0,t&p matrix,False,False,91,18,5,1,3.7708333333333335,10.125,9.6875,48,7,1,0.02040816326530612
65,0,t&p matrix,False,False,91,19,0,0,27.066666666666666,18.166666666666668,3.1,30,7,0,0.0
66,0,t&p matrix,False,False,91,20,0,0,18.08888888888889,21.91111111111111,7.222222222222222,45,7,2,0.0425531914893617
67,0,t&p matrix,False,False,91,21,0,0,27.555555555555557,32.111111111111114,7.805555555555555,36,8,1,0.02702702702702703
68,0,t&p matrix,False,False,91,22,0,0,22.837209302325583,10.44186046511628,8.534883720930232,43,7,2,0.044444444444444446
69,0,t&p matrix,False,False,91,23,14,2,47.9,28.25,9.1,20,5,1,0.047619047619047616
70,0,t&p matrix,False,False,91,24,3,2,41.53846153846154,12.0,3.5641025641025643,39,7,1,0.025
71,0,t&p matrix,False,False,91,25,0,0,27.547619047619047,10.476190476190476,7.761904761904762,42,8,2,0.045454545454545456
72,0,t&p matrix,False,False,91,26,6,1,22.041666666666668,15.604166666666666,9.916666666666666,48,9,5,0.09433962264150944
73,0,t&p matrix,False,False,91,27,3,2,33.77142857142857,9.914285714285715,11.657142857142857,35,8,2,0.05405405405405406
74,0,t&p matrix,False,False,91,28,0,0,35.775,18.175,6.15,40,6,3,0.06976744186046512
75,0,t&p matrix,False,False,91,29,6,1,39.625,44.6875,5.5625,16,5,1,0.058823529411764705
76,0,t&p matrix,False,False,91,30,2,2,49.04545454545455,40.68181818181818,0.0,22,6,2,0.08333333333333333
77,0,t&p matrix,False,False,91,31,3,1,50.5625,22.3125,16.625,16,5,2,0.1111111111111111
78,0,t&p matrix,False,False,91,32,5,2,29.692307692307693,18.923076923076923,6.435897435897436,39,7,3,0.07142857142857142
79,0,t&p matrix,False,False,91,33,0,0,30.11904761904762,13.976190476190476,8.166666666666666,42,7,4,0.08695652173913043
80,0,t&p matrix,False,False,91,34,85,1,19.675675675675677,20.756756756756758,5.675675675675675,37,6,3,0.075
81,0,t&p matrix,False,False,91,35,14,2,18.325,20.1,6.7,40,7,2,0.047619047619047616
82,0,t&p matrix,False,False,91,36,1,1,28.365853658536587,22.073170731707318,11.512195121951219,41,7,1,0.023809523809523808
83,0,t&p matrix,False,False,91,37,0,0,21.365853658536587,10.707317073170731,8.048780487804878,41,7,0,0.0
84,0,t&p matrix,False,False,91,38,0,0,34.07692307692308,16.487179487179485,3.641025641025641,39,7,0,0.0
85,0,t&p matrix,False,False,91,39,0,0,19.105263157894736,35.78947368421053,11.5,38,9,0,0.0
86,0,t&p matrix,False,False,91,40,0,0,20.29268292682927,30.536585365853657,10.609756097560975,41,7,3,0.06818181818181818
87,0,t&p matrix,False,False,91,41,0,0,37.69230769230769,34.5,9.76923076923077,26,7,0,0.0
88,0,t&p matrix,False,False,91,42,0,0,64.78947368421052,9.157894736842104,0.0,19,5,0,0.0
89,0,t&p matrix,False,False,91,45,3,1,21.52,28.4,5.96,25,5,0,0.0
90,0,t&p matrix,False,False,91,46,0,0,34.64705882352941,15.735294117647058,11.058823529411764,34,6,2,0.05555555555555555
91,0,t&p matrix,False,False,91,47,1,1,23.8,11.733333333333333,8.533333333333333,30,5,0,0.0
92,0,t&p matrix,False,False,91,48,0,0,27.08695652173913,23.695652173913043,11.695652173913043,23,5,0,0.0
93,0,t&p matrix,False,False,91,49,0,0,20.75,8.775,9.95,40,8,1,0.024390243902439025
94,0,t&p matrix,False,False,91,50,2,1,37.7906976744186,29.930232558139537,6.767441860465116,43,8,0,0.0
95,0,t&p matrix,False,False,91,51,0,0,21.093023255813954,14.604651162790697,9.279069767441861,43,10,1,0.022727272727272728
96,1,t&p matrix,False,True,91,1,1096,46,26.74074074074074,19.382716049382715,43.95061728395062,81,11,0,0.0
97,1,t&p matrix,False,True,91,2,0,0,6.428571428571429,1.8095238095238095,29.833333333333332,42,5,0,0.0
98,1,t&p matrix,False,True,91,3,0,0,15.852941176470589,22.38235294117647,20.91176470588235,34,6,0,0.0
99,1,t&p matrix,False,True,91,4,0,0,35.8235294117647,43.588235294117645,0.0,17,3,0,0.0
100,1,t&p matrix,False,True,91,6,0,0,9.75,15.517857142857142,25.803571428571427,56,8,0,0.0
101,1,t&p matrix,False,True,91,7,0,0,32.12903225806452,23.677419354838708,14.419354838709678,31,6,0,0.0
102,1,t&p matrix,False,True,91,8,0,0,18.620689655172413,13.758620689655173,29.03448275862069,29,5,0,0.0
103,1,t&p matrix,False,True,91,9,0,0,35.9,30.05,17.75,20,5,0,0.0
104,1,t&p matrix,False,True,91,10,0,0,18.26530612244898,13.571428571428571,17.653061224489797,49,8,0,0.0
105,1,t&p matrix,False,True,91,11,0,0,34.3235294117647,30.323529411764707,0.29411764705882354,34,8,0,0.0
106,1,t&p matrix,False,True,91,12,0,0,20.930232558139537,18.325581395348838,6.72093023255814,43,7,0,0.0
107,1,t&p matrix,False,True,91,13,0,0,18.066666666666666,26.8,6.433333333333334,30,5,0,0.0
108,1,t&p matrix,False,True,91,14,0,0,18.454545454545453,19.863636363636363,10.772727272727273,44,7,0,0.0
109,1,t&p matrix,False,True,91,15,0,0,42.56666666666667,15.033333333333333,2.466666666666667,30,6,0,0.0
110,1,t&p matrix,False,True,91,16,0,0,27.027027027027028,19.783783783783782,8.783783783783784,37,6,0,0.0
111,1,t&p matrix,False,True,91,17,0,0,20.76923076923077,16.28205128205128,6.9743589743589745,39,7,0,0.0
112,1,t&p matrix,False,True,91,18,0,0,1.7959183673469388,13.142857142857142,12.938775510204081,49,7,0,0.0
113,1,t&p matrix,False,True,91,19,0,0,9.1,26.433333333333334,14.9,30,7,0,0.0
114,1,t&p matrix,False,True,91,20,0,0,20.826923076923077,17.942307692307693,5.1923076923076925,52,7,0,0.0
115,1,t&p matrix,False,True,91,21,0,0,27.27027027027027,26.81081081081081,9.513513513513514,37,8,0,0.0
116,1,t&p matrix,False,True,91,22,0,0,24.363636363636363,19.454545454545453,10.5,44,7,0,0.0
117,1,t&p matrix,False,True,91,23,0,0,53.09090909090909,16.363636363636363,7.636363636363637,22,5,0,0.0
118,1,t&p matrix,False,True,91,24,0,0,20.681818181818183,16.90909090909091,0.3181818181818182,44,7,0,0.0
119,1,t&p matrix,False,True,91,25,0,0,20.934782608695652,17.043478260869566,4.630434782608695,46,8,0,0.0
120,1,t&p matrix,False,True,91,26,0,0,19.425925925925927,23.64814814814815,8.296296296296296,54,9,0,0.0
121,1,t&p matrix,False,True,91,27,0,0,18.25,20.0,4.222222222222222,36,8,0,0.0
122,1,t&p matrix,False,True,91,28,0,0,24.85,7.35,3.175,40,6,0,0.0
123,1,t&p matrix,False,True,91,29,0,0,46.73684210526316,28.210526315789473,4.421052631578948,19,5,0,0.0
124,1,t&p matrix,False,True,91,30,0,0,32.357142857142854,16.0,15.5,28,6,0,0.0
125,1,t&p matrix,False,True,91,31,0,0,42.333333333333336,25.428571428571427,8.333333333333334,21,5,0,0.0
126,1,t&p matrix,False,True,91,32,0,0,19.38095238095238,24.166666666666668,3.238095238095238,42,7,0,0.0
127,1,t&p matrix,False,True,91,33,0,0,31.295454545454547,8.181818181818182,0.5454545454545454,44,7,0,0.0
128,1,t&p matrix,False,True,91,34,0,0,29.216216216216218,8.0,7.378378378378378,37,6,0,0.0
129,1,t&p matrix,False,True,91,35,0,0,32.333333333333336,10.88888888888889,-0.3611111111111111,36,7,0,0.0
130,1,t&p matrix,False,True,91,36,0,0,17.261904761904763,15.166666666666666,5.809523809523809,42,7,0,0.0
131,1,t&p matrix,False,True,91,37,0,0,13.948717948717949,11.564102564102564,0.23076923076923078,39,7,0,0.0
132,1,t&p matrix,False,True,91,38,0,0,41.026315789473685,6.157894736842105,-0.07894736842105263,38,7,0,0.0
133,1,t&p matrix,False,True,91,39,0,0,31.333333333333332,11.461538461538462,1.564102564102564,39,9,0,0.0
134,1,t&p matrix,False,True,91,40,0,0,20.477272727272727,17.431818181818183,-0.36363636363636365,44,7,0,0.0
135,1,t&p matrix,False,True,91,41,0,0,57.48275862068966,8.689655172413794,2.1724137931034484,29,7,0,0.0
136,1,t&p matrix,False,True,91,42,0,0,67.52631578947368,13.894736842105264,0.0,19,5,0,0.0
137,1,t&p matrix,False,True,91,45,0,0,27.555555555555557,9.962962962962964,6.777777777777778,27,5,0,0.0
138,1,t&p matrix,False,True,91,46,0,0,41.256410256410255,3.4871794871794872,1.5384615384615385,39,6,0,0.0
139,1,t&p matrix,False,True,91,47,0,0,32.0,4.741935483870968,3.4193548387096775,31,5,0,0.0
140,1,t&p matrix,False,True,91,48,0,0,20.25925925925926,13.185185185185185,0.5555555555555556,27,5,0,0.0
